product_category,product_colour,product_currency,product_description,product_link,product_name,product_price,product_region,product_size,product_time
Filles 6-36 mois,blanc,€,Ce sweat agrémenté d'un motif Medusa lamé doré offre un look amusant qui s'adapte à toutes les occasions. Il est rehaussé de la signature manuscrite de Gianni Versace.,https://www.versace.com/fr/fr-fr/enfants-filles/sweat-medusa-logo-a1002/YA000143-YA00077_A1002.html?cgid=310000,Sweat Medusa Logo,160 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:45.708051
Filles 6-36 mois,imprimer,€,"Ce pantalon confectionné en coton stretch arbore l'imprimé Barocco Signature. L'imprimé présente un motif all-over représentant la signature de Gianni Versace mêlée à des Medusa, feuilles d'acanthe et V dorés.",https://www.versace.com/fr/fr-fr/enfants-filles/pantalon-a-imprime-barocco-signature-a7001/YA000089-A233329_A7001.html?cgid=310000,Pantalon à imprimé Barocco Signature,115 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:45.743033
Filles 6-36 mois,imprimer,€,"Sweat à capuche, fermeture zippée sur le devant et bords-côtes. Orné de l'imprimé Savage Barocco.",https://www.versace.com/fr/fr-fr/enfants-filles/hoodie-a-imprime-savage-barocco-ya743/YA000060-YA00277_YA743.html?cgid=310000,Hoodie à imprimé Savage Barocco,260 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:46.174623
Filles 6-36 mois,imprimer,€,Pantalon de survêtement pur coton à imprimé Savage Barocco. Taille élastique à motif Greca.,https://www.versace.com/fr/fr-fr/enfants-filles/pantalon-survetement-imprime-savage-barocco-ya743/YA000075-YA00277_YA743.html?cgid=310000,Pantalon survêtement imprimé Savage Barocco,180 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:46.240450
Filles 6-36 mois,imprimer,€,Ce sweat à manches longues et col ras-du-cou rehaussé de l'imprimé Tie-Dye est orné du logo 90s Versace Vintage. Le modèle présente des bords-côtes de couleur contrastante et des boutons sur les épaules.,https://www.versace.com/fr/fr-fr/enfants-filles/sweat-a-logo-a-imprime-tie-dye-a7846/YB000103-YA00077_A7846.html?cgid=310000,Sweat à logo à imprimé Tie-Dye,255 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:46.346196
Filles 6-36 mois,imprimer,€,Ce sweat à manches longues et col ras-du-cou rehaussé de l'imprimé Tie-Dye est orné du logo 90s Versace Vintage. Le modèle présente des bords-côtes de couleur contrastante et des boutons sur les épaules.,https://www.versace.com/fr/fr-fr/enfants-filles/sweat-a-logo-a-imprime-tie-dye-a7849/YB000103-YA00077_A7849.html?cgid=310000,Sweat à logo à imprimé Tie-Dye,255 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:46.403879
Filles 6-36 mois,blanc,€,Robe à manches courtes ornée d'un émoji Medusa et du logo Versace. Taille élastique à motif Greca de couleur contrastante.,https://www.versace.com/fr/fr-fr/enfants-filles/robe-medusa-emoji-ya002/YA000057-YA00019_YA002.html?cgid=310000,Robe Medusa Emoji,175 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:46.438166
Filles 6-36 mois,imprimer,€,"Robe à col rond, manches courtes et imprimé Savage Barocco. Finitions cloutées Medusa.",https://www.versace.com/fr/fr-fr/enfants-filles/robe-a-imprime-savage-barocco-ya743/YA000068-YA00278_YA743.html?cgid=310000,Robe à imprimé Savage Barocco,295 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:46.490220
Filles 6-36 mois,imprimer,€,Pantalon en coton orné de l'imprimé Savage Barocco.,https://www.versace.com/fr/fr-fr/enfants-filles/pantalon-a-imprime-savage-barocco-ya743/YA000089-YA00276_YA743.html?cgid=310000,Pantalon à imprimé Savage Barocco,115 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:46.525925
Garçons 4-14 Ans,bleu,€,"Confectionnée en cuir de qualité exceptionnelle, cette ceinture est ornée d'une boucle Medusa.",https://www.versace.com/fr/fr-fr/enfants-garcon/ceinture-palazzo-kids-yy12z/YMX00002-YB00288_YY12Z.html?cgid=330000,Ceinture Palazzo Kids,140 €,France,"S,M,L,XL",2020-03-30 20:01:46.956787
