product_category,product_colour,product_currency,product_description,product_link,product_name,product_price,product_region,product_size,product_time
Cadeaux pour Lui,noir,€,"Sac à dos en nylon à anse sur le dessus, poche extérieure zippée et plaque tête de Médusa.",https://www.versace.com/fr/fr-fr/cadeaux/cadeaux-pour-lui/sac-a-dos-en-nylon-tete-de-medusa-knn/DFZ5350-DNYLV_DTU_UNICA_KNN__.html?cgid=520000,Sac à dos en nylon Tête de Médusa,750 €,France,no available,2020-03-30 19:44:52.575259
Cadeaux pour Lui,bleu,€,Ce boxer en coton présente un motif Medusa au centre et une bordure à imprimé Greca sur sa taille élastique.,https://www.versace.com/fr/fr-fr/cadeaux/cadeaux-pour-lui/boxer-a-bordure-greca-a9x4/AU10026-A232741_A9X4.html?cgid=520000,Boxer à bordure Greca,50 €,France,"3,4,5,6,7,8",2020-03-30 19:44:52.656832
Vêtements Hommes,noir,€,Polo slim en piqué de coton avec écusson griffé et col contrastant.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/polo-en-coton-a-ecusson-griffe-e899/EB3GUA7P8-E36571_E899.html?cgid=12000001,Polo en coton à écusson griffé,85 €,France,"46,48,50,52,54",2020-03-30 19:44:52.697157
Vêtements Hommes,bleu,€,Veste slim en denim de coton stretch avec triple surpiqûre dorée.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/veste-slim-en-denim-e912/EC1GUA92P-EALK3M_E912.html?cgid=12000001,Veste slim en denim,445 €,France,"44,46,48,50,52,54",2020-03-30 19:44:52.744111
Cadeaux pour Lui,noir,€,"Ce jean coupe slim a été confectionné en denim extensible confortable. Les poches arrière sont ornées de broderies Barocco dorées. Cette pièce est également complétée par des écussons en cuir marqués du logo, instantanément reconnaissables.",https://www.versace.com/fr/fr-fr/cadeaux/cadeaux-pour-lui/jean-barocco-brode-a8008/A85187-A232938_A8008.html?cgid=520000,Jean Barocco brodé,495 €,France,"29,30,31,32,33,34,35,36",2020-03-30 19:44:52.783528
Vêtements Hommes,blanc,€,Polo slim en piqué de coton avec écusson griffé et col contrastant.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/polo-en-coton-a-ecusson-griffe-e003/EB3GUA7P8-E36571_E003.html?cgid=12000001,Polo en coton à écusson griffé,85 €,France,"46,48,50,52,54",2020-03-30 19:44:52.820576
Vêtements Hommes,blanc,€,T-shirt slim en coton avec logo sur le devant.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/t-shirt-en-coton-avec-logo-e003/EB3GUA7TQ-E36610_E003.html?cgid=12000001,T-shirt en coton avec logo,80 €,France,"XS,S,M,L,XL,XXL",2020-03-30 19:44:52.856202
Accessoires Femmes,noir,€,Sac shopper à imprimé graphique,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-shopper-imprime-emi9/EE1VVBBX1-E71421_ENU_NR_EMI9__.html?cgid=11000021,Sac shopper imprimé,165 €,France,no available,2020-03-30 19:44:53.354052
Vêtements Hommes,noir,€,Polo avec détails du logo et étiquette à l'avant.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/polo-avec-logo-e899/EB3GUB721-E36571_E899.html?cgid=12000001,Polo avec logo,150 €,France,"44,46,48,50,52,54",2020-03-30 19:44:53.392183
Accessoires Hommes,bleu,€,"Ce portefeuille à deux volets est rehaussé de l'imprimé Baroque Jewels et des lettres du logo. Le modèle dispose de plusieurs compartiments intérieurs à billets, à monnaie et à cartes.",https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-hommes/portefeuille-a-deux-volets-baroque-jewels-e239/EE3YVBPB1-E71432_ENU_NR_E239__.html?cgid=12000021,Portefeuille à deux volets Baroque Jewels,150 €,France,no available,2020-03-30 19:44:54.213860
Accessoires Femmes,rouge,€,Sac banane avec un écusson logo.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-banane-avec-ecusson-logo-e500/EE1VVBBT8-E71420_ENU_NR_E500__.html?cgid=11000021,Sac banane avec écusson logo,165 €,France,no available,2020-03-30 19:44:54.306845
Accessoires Femmes,noir,€,Cette ceinture en cuir est dotée d'une boucle dorée et d'un bout rehaussé d'une pointe emblématique.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/ceinture-a-pointe-emblematique-e899/ED8VVBF15-E71549_E899.html?cgid=11000021,Ceinture à pointe emblématique,105 €,France,"70,75,80,85,90,95",2020-03-30 19:44:54.354222
Vêtements Femmes,blanc,€,Ce jean skinny est rehaussé de deux boucles et de clous dorés sur la taille. Le modèle est rehaussé de trois coutures dorées.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-femmes/jean-skinny-elements-metal-dore-emblematiques-e003/EA1HVB011-EHRF4N_E003.html?cgid=11000001,Jean skinny éléments métal doré emblématiques,650 €,France,"25,26,27,28,30",2020-03-30 19:44:54.427972
Accessoires Femmes,noir,€,Cette ceinture en cuir est dotée d'une boucle dorée et d'un bout rehaussé d'une pointe emblématique.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/ceinture-a-pointe-emblematique-e899/ED8VVBF13-E71447_E899.html?cgid=11000021,Ceinture à pointe emblématique,100 €,France,"70,75,80,85,90,95,100,105",2020-03-30 19:44:54.463720
Accessoires Femmes,noir,€,Cette ceinture en cuir présente une boucle logo dorée entourée d'une chaîne.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/ceinture-a-boucle-logo-e899/ED8VVBF20-E71449_E899.html?cgid=11000021,Ceinture à boucle logo,95 €,France,"70,75,80,85,90,95,100,105",2020-03-30 19:44:54.499341
Accessoires Hommes,vert,€,Sac à dos avec lettres du logo.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-hommes/sac-a-dos-avec-logo-e141/EE1YVBB41-E71428_ENU_NR_E141__.html?cgid=12000021,Sac à dos avec logo,210 €,France,no available,2020-03-30 19:44:54.535297
Accessoires Femmes,blanc,€,Cette ceinture en cuir est dotée de deux boucles dorées et de pointes emblématiques.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/ceinture-a-deux-boucles-e003/ED8VVBF11-E71447_E003.html?cgid=11000021,Ceinture à deux boucles,155 €,France,"70,75,80,85,90,95,100",2020-03-30 19:44:54.590005
Accessoires Femmes,noir,€,Ces sandales à talons hauts sont dotées de brides rehaussées des lettres du logo.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sandales-logo-tape-e899/EE0VVBS36-E85064_E899.html?cgid=11000021,Sandales Logo Tape,175 €,France,"35,36,37,38,39,40,41",2020-03-30 19:44:54.691825
Accessoires Femmes,blanc,€,Ce sac bandoulière en vinyle est rehaussé d'un motif logo. L'accessoire est doté d'une double fermeture zippée et d'une bandoulière amovible ornée des lettres du logo.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-bandouliere-vinyle-a-logo-e003/EE1VVBBM8-E71412_ENU_NR_E003__.html?cgid=11000021,Sac bandoulière vinyle à logo,165 €,France,no available,2020-03-30 19:44:54.735225
Accessoires Femmes,rouge,€,Cette ceinture en cuir est dotée d'une boucle dorée et d'un bout rehaussé d'une pointe emblématique.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/ceinture-a-pointe-emblematique-e500/ED8VVBF13-E71447_E500.html?cgid=11000021,Ceinture à pointe emblématique,100 €,France,"70,75,80,85,90,95,100",2020-03-30 19:44:54.801758
Accessoires Femmes,rose,€,Claquettes en caoutchouc à imprimé Logo Allover.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/claquettes-logo-allover-ek77/EE0VVBSQ1-E71352_EK77.html?cgid=11000021,Claquettes Logo Allover,50 €,France,"35,36,37,38,39,40,41",2020-03-30 19:44:55.190168
Accessoires Femmes,blanc,€,Claquettes en caoutchouc à imprimé Logo Allover.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/claquettes-logo-allover-em53/EE0VVBSQ1-E71352_EM53.html?cgid=11000021,Claquettes Logo Allover,50 €,France,"35,36,37,38,39,40,41",2020-03-30 19:44:55.399623
Style de vie Versace,imprimer,€,"Confectionné dans un bois de qualité supérieure, ce skateboard est orné d'éléments emblématiques de la Maison.",https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/skateboard-imprime-z7064/ZSKATE001-ZWOOD001_Z01_UNIC_Z7064__.html?cgid=420600,Skateboard imprimé,590 €,France,no available,2020-03-30 19:44:55.585685
Style de vie Versace,noir,€,Lot collier et laisse avec clous Medusa.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/lot-collier-et-laisse-medusa-z1008/ZDOGSET04-ZPL00005_Z1008.html?cgid=420600,Lot collier et laisse Medusa,545 €,France,"S,M,L",2020-03-30 19:44:55.709402
Style de vie Versace,imprimer,€,Victoire assurée avec ces gants de boxe en cuir ornés de l'emblématique imprimé Barocco.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/gants-de-boxe-a-imprime-barocco-z7011/ZGU000001-ZPEL0053_Z01_UNIC_Z7011__.html?cgid=420600,Gants de boxe à imprimé Barocco,2.445 €,France,no available,2020-03-30 19:44:55.955165
Nouveautés,imprimer,€,"Blouson aviateur avec imprimé Tropical Baroque, fermeture zippée et bords-côtes de couleur contrastante.",https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/blouson-aviateur-tropical-baroque-e983/EC1GVA915-E20433_E983.html?cgid=13000001,Blouson aviateur Tropical Baroque,400 €,France,"44,46,48,50,52",2020-03-30 19:44:56.018698
Nouveautés,noir,€,Veste en denim rehaussée d'empiècements de l'imprimé Tropical Baroque.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/veste-en-denim-a-imprime-tropical-baroque-e899/EC1GVA93J-EAPD4Z_E899.html?cgid=13000001,Veste en denim à imprimé Tropical Baroque,745 €,France,"44,46,48,50,52",2020-03-30 19:44:56.056348
Nouveautés,imprimer,€,Doudoune ornée de l'imprimé Tropical Baroque et d'un écusson logo sur la manche.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/doudoune-a-imprime-tropical-baroque-e983/EE5HVA980-E20433_E983.html?cgid=13000001,Doudoune à imprimé Tropical Baroque,670 €,France,"38,40,42",2020-03-30 19:44:56.092629
Nouveautés,noir,€,Veste en denim rehaussée d'un motif de l'imprimé Etichetta à l'avant.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/veste-en-denim-a-imprime-etichetta-el02/EC1GVA91G-EHRC51_EL02.html?cgid=13000001,Veste en denim à imprimé Etichetta,620 €,France,"44,46,48,50,52",2020-03-30 19:44:56.129945
Nouveautés,imprimer,€,Sweat zippé en velours à imprimé Tropical Baroque.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/sweat-en-velours-a-imprime-tropical-baroque-e983/EB7GVA7F2-ES0664_E983.html?cgid=13000001,Sweat en velours à imprimé Tropical Baroque,445 €,France,"XS,S,M,L,XL",2020-03-30 19:44:56.174004
Nouveautés,bleu,€,Veste en jean avec détails cloutés dorés. Ce modèle présente des détails usés et des boutons logo.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/veste-en-jean-cloutee-e904/EC1GVA93S-EAO94Y_E904.html?cgid=13000001,Veste en jean cloutée,1.620 €,France,"46,48,50",2020-03-30 19:44:56.210321
Nouveautés,blanc,€,,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/sac-porte-epaule-couture-1-e003/EE1VVBBF1-E71408_ENU_NR_E003__.html?cgid=13000001,Sac porté épaule Couture 1,230 €,France,no available,2020-03-30 19:44:56.246668
Nouveautés,bleu,€,Ce jean skinny avec délavage classique se caractérise par des clous dorés.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/jean-skinny-cloute-e904/EA2GVA0OS-EAOB4Y_E904.html?cgid=13000001,Jean skinny clouté,650 €,France,"30,31,32,33",2020-03-30 19:44:56.847972
Style de vie Versace,imprimer,€,Gardez votre meilleur ami bien au chaud de façon stylée avec cette chemise en coton stretch pour chien ornée de l'imprimé Crete de Fleur au dos.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/chemise-pour-chien-a-imprime-crete-de-fleur-z7011/ZDOGTSH01-ZCOP0173_Z7011.html?cgid=420600,Chemise pour chien à imprimé Crete de Fleur,145 €,France,"S,M,L,XL",2020-03-30 19:44:57.029537
Style de vie Versace,Noir,€,Gardez votre animal de compagnie au chaud avec cet élégant gilet recouvert d'un motif logo texturé et orné de détails Barocco.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/gilet-pour-chien-a-imprime-logo-z4800/ZDOGACJ01-ZCOSP052_Z4800.html?cgid=420600,Gilet pour chien à imprimé logo,190 €,France,"S,M,L,XL",2020-03-30 19:44:57.196246
Style de vie Versace,imprimer,€,Smash : ballon de basket orné de l'emblématique imprimé Barocco.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/ballon-de-basket-imprime-barocco-z7011/ZBASK0001-ZPAL0001_Z01_UNIC_Z7011__.html?cgid=420600,Ballon de basket imprimé Barocco,190 €,France,no available,2020-03-30 19:44:57.236155
Style de vie Versace,imprimer,€,Cette bouée gonflable affiche l'imprimé Crete de Fleur.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/bouee-gonflable-crete-de-fleur-z7011/ZINFL0001-ZPUL0014_Z01_UNIC_Z7011__.html?cgid=420600,Bouée gonflable Crete de Fleur,180 €,France,no available,2020-03-30 19:44:57.272252
Style de vie Versace,imprimer,€,Chemise pour chien ornée d'un motif emprunté à l'imprimé Crete de Fleur au dos. Cette chemise est dotée d'une capuche et d'une fermeture zippée.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/chemise-a-capuche-crete-de-fleur-pour-chien-z7011/ZDOGRACO1-ZPUL0012_Z7011.html?cgid=420600,Chemise à capuche Crete de Fleur pour chien,245 €,France,"S,M,L,XL",2020-03-30 19:44:57.307934
Nouveautés,blanc,€,Ce sac à main en cuir est doté d'une boucle esprit salopette et de coutures dorées. Cet accessoire est doté d'une fermeture à rabat magnétique et d'une poignée amovible.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/sac-a-main-a-boucle-salopette-e003/EE1VVBBS3-E71493_ENU_NR_E003__.html?cgid=13000001,Sac à main à boucle Salopette,415 €,France,no available,2020-03-30 19:44:57.347479
Style de vie Versace,imprimer,€,Ballon de rugby entièrement orné de l'imprimé Barocco.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/ballon-de-rugby-barocco-z7011/ZFOOTB001-ZPAL0001_Z01_UNIC_Z7011__.html?cgid=420600,Ballon de rugby Barocco,190 €,France,no available,2020-03-30 19:44:57.382928
Style de vie Versace,imprimer,€,Ballon de foot entièrement orné de l'imprimé Barocco.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/ballon-de-foot-barocco-z7011/ZSOCCB001-ZPAL0001_Z01_UNIC_Z7011__.html?cgid=420600,Ballon de foot Barocco,160 €,France,no available,2020-03-30 19:44:57.418001
Style de vie Versace,argent,€,Cette élégante tirelire en porcelaine de couleur argentée vient compléter à merveille la collection Versace Home.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/tirelire-argentee-break-the-bank-n1446/N27980-N426174_RTU_TU_N1446__.html?cgid=420600,Tirelire argentée Break-The-Bank,155 €,France,no available,2020-03-30 19:44:58.040887
Style de vie Versace,imprimer,€,Raquettes de plage en bois ornées de l'imprimé Crete de Fleur.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/raquettes-de-plage-crete-de-fleur-z7011/ZMATK0001-ZWOOD002_Z01_UNIC_Z7011__.html?cgid=420600,Raquettes de plage Crete de Fleur,195 €,France,no available,2020-03-30 19:44:58.077462
Style de vie Versace,Glass and Cristal,€,Carafe en verre fumé de la collection Medusa Lumière Haze.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/carafe-medusa-lumiere-haze-n2066/N46796-N321392_RTU_TU_N2066__.html?cgid=420600,Carafe Medusa Lumière Haze,551 €,France,no available,2020-03-30 19:44:58.113410
Style de vie Versace,N6912,€,Une tête de Medusa transparente vient rehausser l'élégance des verres.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/lot-a-whisky-medusa-lumiere-haze-n6912/N48870-N321392_RTU_TU_N6912__.html?cgid=420600,Lot à whisky Medusa Lumière Haze,155 €,France,no available,2020-03-30 19:44:58.325250
Style de vie Versace,WNUL,€,Le premier livre documentant la carrière de Donatella Versace et l’optique de la Maison. Découvrez l'héritage de Versace à travers des photos et des notes inédites.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/versace---donatella-versace-livre-wnul/WLN16EN01-W1_RTU_TU_WNUL__.html?cgid=420600,Versace - Donatella Versace Livre,95 €,France,no available,2020-03-30 19:44:58.381087
Style de vie Versace,imprimer,€,Gardez votre meilleur ami bien au chaud de façon stylée avec cette chemise en coton stretch pour chien ornée d'un motif Medusa au dos.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/chemise-pour-chien-medusa-z7011/ZDOGTSH01-ZCOP0157_Z7011.html?cgid=420600,Chemise pour chien Medusa,145 €,France,"S,M,L",2020-03-30 19:44:58.430244
Style de vie Versace,blanc,€,Rokko est un accessoire unique pour décorer votre intérieur au style Versace inimitable.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/petit-guepard-rokko-z4001/ZROKKOB01-ZMAS0001_Z01_UNIC_Z4001__.html?cgid=420600,Petit Guépard Rokko,250 €,France,no available,2020-03-30 19:44:58.465039
Style de vie Versace,argent,€,Le guépard Rokko est un accessoire unique pour embellir votre intérieur avec le style inimitable de Versace.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/grand-guepard-rokko-z4251/ZROKKO003-ZMAS0001_Z01_UNIC_Z4251__.html?cgid=420600,Grand Guépard Rokko,945 €,France,no available,2020-03-30 19:44:58.499802
Style de vie Versace,blanc,€,Le guépard Rokko est un accessoire unique pour embellir votre intérieur avec le style inimitable de Versace.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/grand-guepard-rokko-z4001/ZROKKO001-ZMAS0001_Z01_UNIC_Z4001__.html?cgid=420600,Grand Guépard Rokko,350 €,France,no available,2020-03-30 19:44:58.535176
Style de vie Versace,Jaune,€,Le guépard Rokko est un accessoire unique pour embellir votre intérieur avec le style inimitable de Versace.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/grand-guepard-rokko-z4004/ZROKKO003-ZMAS0001_Z01_UNIC_Z4004__.html?cgid=420600,Grand Guépard Rokko,945 €,France,no available,2020-03-30 19:44:58.576353
Style de vie Versace,Jaune,€,Rokko est un accessoire unique pour décorer votre intérieur au style Versace inimitable.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/petit-guepard-rokko-z4004/ZROKKOB03-ZMAS0001_Z01_UNIC_Z4004__.html?cgid=420600,Petit Guépard Rokko,780 €,France,no available,2020-03-30 19:44:58.611464
Style de vie Versace,Noir,€,Rokko est un accessoire unique pour décorer votre intérieur au style Versace inimitable.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/petit-guepard-rokko-z4800/ZROKKOB01-ZMAS0001_Z01_UNIC_Z4800__.html?cgid=420600,Petit Guépard Rokko,250 €,France,no available,2020-03-30 19:44:58.647973
Style de vie Versace,N1446,€,Cette tirelire en porcelaine apporte une nouvelle note d'élégance à la collection Versace Home. Avec sa Tête de Medusa bleue emblématique.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/tirelire-bleue-break-the-bank-n1446/N27980-N426273_RTU_TU_N1446__.html?cgid=420600,Tirelire bleue Break-The-Bank,155 €,France,no available,2020-03-30 19:44:59.311412
Style de vie Versace,N1446,€,"Cette tirelire en porcelaine apporte une nouvelle note d'élégance à la collection Versace Home avec sa Tête de Medusa en 3D, emblématique de Versace.",https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/tirelire-noire-break-the-bank-n1446/N27980-N105000_RTU_TU_N1446__.html?cgid=420600,Tirelire noire Break the bank,155 €,France,no available,2020-03-30 19:44:59.366842
Style de vie Versace,N1446,€,Cette tirelire en porcelaine apporte une nouvelle note d'élégance à la collection Versace Home. Avec sa Tête de Medusa rose emblématique.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/tirelire-rose-break-the-bank-n1446/N27980-N426272_RTU_TU_N1446__.html?cgid=420600,Tirelire rose Break-The-Bank,155 €,France,no available,2020-03-30 19:44:59.403084
Style de vie Versace,Noir,€,Le guépard Rokko est un accessoire unique pour embellir votre intérieur avec le style inimitable de Versace.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/grand-guepard-rokko-z4800/ZROKKO001-ZMAS0001_Z01_UNIC_Z4800__.html?cgid=420600,Grand Guépard Rokko,350 €,France,no available,2020-03-30 19:44:59.529520
Nouveautés,bleu,€,Short en denim à imprimé Tropical Parrots rehaussé d'ourlets frangés.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/short-en-denim-a-imprime-tropical-parrots-e904/EA3HVA11L-EAO94W_E904.html?cgid=13000001,Short en denim à imprimé Tropical Parrots,675 €,France,"26,27,28,29",2020-03-30 19:44:59.566795
Nouveautés,brun,€,Ce sac à main en cuir est doté d'une boucle esprit salopette et de coutures dorées. Cet accessoire est doté d'une fermeture à rabat magnétique et d'une poignée amovible.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/sac-a-main-a-boucle-salopette-e712/EE1VVBBS3-E71493_ENU_NR_E712__.html?cgid=13000001,Sac à main à boucle Salopette,415 €,France,no available,2020-03-30 19:44:59.604820
Nouveautés,bleu,€,Jean en denim stretch orné d'un écusson à imprimé Tropical Parrots sur la poche arrière.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/jean-patch-tropical-parrots-e904/EA2GVA0SM-EAOB4X_E904.html?cgid=13000001,Jean Patch Tropical Parrots,375 €,France,"29,30,31,32,33,34",2020-03-30 19:44:59.640914
Style de vie Versace,N1446,€,Cette tirelire en porcelaine apporte une nouvelle note d'élégance à la collection Versace Home avec sa Tête de Medusa en or emblématique.,https://www.versace.com/fr/fr-fr/home-collection/style-de-vie-versace/tirelire-or-break-the-bank-n1446/N27980-N426157_RTU_TU_N1446__.html?cgid=420600,Tirelire or Break the bank,155 €,France,no available,2020-03-30 19:44:59.674876
Nouveautés,noir,€,Jean slim avec poche arrière rehaussée de l'imprimé Tropical Parrots et logo.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/jean-tropical-parrots-e899/EA2GVA0SJ-EALL4Z_E899.html?cgid=13000001,Jean Tropical Parrots,350 €,France,"29,30,31,32,33,34",2020-03-30 19:45:00.515552
Nouveautés,rose,€,,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/sac-porte-epaule-couture-1-e401/EE1VVBBF1-E71408_ENU_NR_E401__.html?cgid=13000001,Sac porté épaule Couture 1,230 €,France,no available,2020-03-30 19:45:00.684400
Nouveautés,noir,€,"Short en denim orné de trois coutures dorées, d'ourlets frangés et de finitions emblématiques en métal à l'arrière.",https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/short-en-denim-e899/EA4GVA17I-EALL4P_E899.html?cgid=13000001,Short en denim,260 €,France,"29,30,31,32,33,34",2020-03-30 19:45:00.722266
Nouveautés,blanc,€,Ce jean skinny est rehaussé de deux boucles et de clous dorés sur la taille. Le modèle est rehaussé de trois coutures dorées.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/jean-skinny-elements-metal-dore-emblematiques-e003/EA1HVB011-EHRF4N_E003.html?cgid=13000001,Jean skinny éléments métal doré emblématiques,650 €,France,"25,26,27,28,30",2020-03-30 19:45:00.784867
Nouveautés,blanc,€,Jean en denim rehaussé d'un imprimé Gold Baroque sur le côté et d'ourlets frangés.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/jean-a-motif-gold-baroque-e003/EA1HVB015-EHRF33_E003.html?cgid=13000001,Jean à motif Gold Baroque,375 €,France,"25,26,27,28,29,30",2020-03-30 19:45:00.821851
Accessoires Femmes,noir,€,Ce sac à dos possède une pochette extérieure rehaussée d'une boucle logo Baroque. L'accessoire est doté d'une fermeture zippée sur le dessus et d'une bandoulière amovible.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-a-dos-couture-1-e899/EE1VVBBF5-E71408_ENU_NR_E899__.html?cgid=11000021,Sac à dos Couture 1,185 €,France,no available,2020-03-30 19:45:00.858071
Accessoires Femmes,rose,€,,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-porte-epaule-couture-1-e401/EE1VVBBF1-E71408_ENU_NR_E401__.html?cgid=11000021,Sac porté épaule Couture 1,230 €,France,no available,2020-03-30 19:45:00.912073
Accessoires Femmes,rose,€,Ce sac à dos possède une pochette extérieure rehaussée d'une boucle logo Baroque. L'accessoire est doté d'une fermeture zippée sur le dessus et d'une bandoulière amovible.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-a-dos-couture-1-e401/EE1VVBBF5-E71408_ENU_NR_E401__.html?cgid=11000021,Sac à dos Couture 1,185 €,France,no available,2020-03-30 19:45:00.946868
Nouveautés,rose,€,Ce sac à dos possède une pochette extérieure rehaussée d'une boucle logo Baroque. L'accessoire est doté d'une fermeture zippée sur le dessus et d'une bandoulière amovible.,https://www.versace.com/fr/fr-fr/jeans-couture/nouveautes/sac-a-dos-couture-1-e401/EE1VVBBF5-E71408_ENU_NR_E401__.html?cgid=13000001,Sac à dos Couture 1,185 €,France,no available,2020-03-30 19:45:00.982870
Accessoires Femmes,noir,€,Ce mini sac est orné d'une boucle logo Baroque. L'accessoire est doté d'une fermeture à rabat magnétique et d'une bandoulière amovible.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/mini-sac-couture-1-e899/EE1VVBBF2-E71408_ENU_NR_E899__.html?cgid=11000021,Mini sac Couture 1,175 €,France,no available,2020-03-30 19:45:01.021660
Accessoires Femmes,blanc,€,,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-porte-epaule-couture-1-e003/EE1VVBBF1-E71408_ENU_NR_E003__.html?cgid=11000021,Sac porté épaule Couture 1,230 €,France,no available,2020-03-30 19:45:01.349666
Accessoires Femmes,brun,€,Ce sac à main en cuir est doté d'une boucle esprit salopette et de coutures dorées. Cet accessoire est doté d'une fermeture à rabat magnétique et d'une poignée amovible.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-a-main-a-boucle-salopette-e712/EE1VVBBS3-E71493_ENU_NR_E712__.html?cgid=11000021,Sac à main à boucle Salopette,415 €,France,no available,2020-03-30 19:45:01.387423
Accessoires Femmes,rose,€,Ce mini sac est orné d'une boucle logo Baroque. L'accessoire est doté d'une fermeture à rabat magnétique et d'une bandoulière amovible.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/mini-sac-couture-1-e401/EE1VVBBF2-E71408_ENU_NR_E401__.html?cgid=11000021,Mini sac Couture 1,175 €,France,no available,2020-03-30 19:45:01.448457
Accessoires Femmes,brun,€,Ce sac bandoulière en cuir est doté d'une boucle esprit salopette et de coutures dorées. Cet accessoire est doté d'une fermeture à rabat magnétique et d'une bandoulière chaîne.,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-bandouliere-a-boucle-salopette-e712/EE1VVBBS1-E71493_ENU_NR_E712__.html?cgid=11000021,Sac bandoulière à boucle Salopette,350 €,France,no available,2020-03-30 19:45:01.559873
